Breed Name,Height,Weight,Life Span,Breed Group,About the breed,URL,Image URL
Irish Water Spaniel,20–23 in,44–70 lb,12–13 yr,Sporting,"The Irish Water Spaniel is an intelligent, playful, and eager-to-please breed. With their poofy topknots and boisterous personalities, Irish Water Spaniels are often considered the clowns of the spaniel family. But these humorous dogs are just as skilled at retrieving game as they are making their humans smile.",https://www.wisdompanel.com/en-us/dog-breeds/irish-water-spaniel/,https://breed-assets.wisdompanel.com/dog/irish-water-spaniel/Irish_Water_Spaniel_Color_Small_File.png
Kuvasz,26–30 in,61–122 lb,10–12 yr,Herding,"The Kuvasz is a fearless livestock guardian that makes a vigilant watchdog. These fierce protectors are energetic, alert, and powerful but also sweet-natured with their families.",https://www.wisdompanel.com/en-us/dog-breeds/kuvasz/,https://breed-assets.wisdompanel.com/dog/kuvasz/Kuvasz_Color_Small_File.png
Schipperke,9–14 in,9–19 lb,12–15 yr,Companion,"The Schipperke is a small, powerful breed. These curious little explorers have tenacious personalities and make excellent pets for active families.",https://www.wisdompanel.com/en-us/dog-breeds/schipperke/,https://breed-assets.wisdompanel.com/dog/schipperke/Schipperke_Color_Small_File.png
Belgian Sheepdog,22–26 in,40–83 lb,10–14 yr,Herding,Belgian Sheepdogs are serious and sensitive dogs with a passion for working and companionship. The breed works as hard to earn affection as it does to herd sheep.,https://www.wisdompanel.com/en-us/dog-breeds/belgian-sheepdog/,https://breed-assets.wisdompanel.com/dog/belgian-sheepdog/Belgian_Sheepdog_Color_Small_File.png
Belgian Malinois,22–26 in,40–83 lb,12–16 yr,Herding,"The Belgian Malinois is a confident, intelligent working dog that takes pride in a job well done.

Their strong protective instincts make Belgian Malinoises excellent guard dogs.",https://www.wisdompanel.com/en-us/dog-breeds/belgian-malinois/,https://breed-assets.wisdompanel.com/dog/belgian-malinois/Belgian_Malinois_Color_Small_File.png
Briard,22–27 in,48–97 lb,10–12 yr,Herding,"Briards are confident, faithful dogs that are ideal for families. The same protective instinct that allowed Briards to guard livestock for centuries extends to children, whom the dogs see as their flock.",https://www.wisdompanel.com/en-us/dog-breeds/briard/,https://breed-assets.wisdompanel.com/dog/briard/Briard_Color_Small_File.png
Australian Kelpie,17–20 in,25–45 lb,10–13 yr,Herding,"The Australian Kelpie is an intelligent, strong working dog with almost inexhaustible stamina. The breed is as devoted to its owners as it is to its work, making it an ideal companion for those looking for a dog that plays as hard as it works.",https://www.wisdompanel.com/en-us/dog-breeds/australian-kelpie/,https://breed-assets.wisdompanel.com/dog/australian-kelpie/Australian_Kelpie_Color_Small_File.png
Komondor,26–35 in,57–100 lb,10–12 yr,Herding,"Komondors are big, brave dogs that show outsized devotion and affection to their loved ones. These one-time flock protectors make excellent guard dogs that will do their best to keep their families safe.",https://www.wisdompanel.com/en-us/dog-breeds/komondor/,https://breed-assets.wisdompanel.com/dog/komondor/Komondor_Color_Small_File.png
Old English Sheepdog,22–25 in,57–100 lb,10–12 yr,Herding,"Old English Sheepdogs are adaptable, gentle, and smart. Despite their large size, these big balls of fluff are active and agile, and their good looks are sure to draw attention.",https://www.wisdompanel.com/en-us/dog-breeds/old-english-sheepdog/,https://breed-assets.wisdompanel.com/dog/old-english-sheepdog/Old_English_Sheepdog_Color_Small_File.png
Shetland Sheepdog,13–14 in,12–24 lb,12–15 yr,Herding,"The Shetland Sheepdog is a small, alert, working dog. Though it bears a striking resemblance to the rough-coated Collie, this is a breed all its own, prized for its intelligent, obedient, and affectionate nature.",https://www.wisdompanel.com/en-us/dog-breeds/shetland-sheepdog/,https://breed-assets.wisdompanel.com/dog/shetland-sheepdog/Shetland_Sheepdog_Color_Small_File.png
Collie,20–24 in,44–79 lb,12–14 yr,Herding,"Collies are devoted pups that love children and thrive on attention and affection. Though originally bred to be working dogs, Collies have also taken on the job of steadfast family companion.",https://www.wisdompanel.com/en-us/dog-breeds/collie/,https://breed-assets.wisdompanel.com/dog/collie/Collie_Color_Small_File.png
Border Collie,18–21 in,31–53 lb,12–15 yr,Herding,"Border Collies are energetic, intelligent, and tenacious.

Innate herding instincts have helped Border Collies remain popular as a working dog, but these active dogs make excellent companions that are eager to please their owners.",https://www.wisdompanel.com/en-us/dog-breeds/border-collie/,https://breed-assets.wisdompanel.com/dog/border-collie/Border_Collie_Color_Small_File.png
Bouvier des Flandres,22–28 in,60–103 lb,10–12 yr,Herding,"Bouviers des Flandres are intelligent and affectionate dogs with huge hearts. A working dog breed, the Bouvier des Flandres is a strong-willed and courageous animal that excels in the roles of watchdog and guardian.",https://www.wisdompanel.com/en-us/dog-breeds/bouvier-des-flanders/,https://breed-assets.wisdompanel.com/dog/bouvier-des-flanders/Bouvier_des_Flandres_Color_Small_File.png
Rottweiler,23–27 in,72–132 lb,8–12 yr,Guard,"The Rottweiler is a very intelligent breed that's trustworthy, strong, and loyal to its family. Rottweilers can be protective of their people and territory but are usually calm when they don't feel threatened. They make excellent watchdogs and loving companions.",https://www.wisdompanel.com/en-us/dog-breeds/rottweiler/,https://breed-assets.wisdompanel.com/dog/rottweiler/Rottweiler_Color_Small_File.png
German Shepherd Dog,22–26 in,48–97 lb,7–13 yr,Herding,"German Shepherds are good-natured, all-purpose workers. Their intelligence, alertness, courage, and loyalty have earned them roles as guard dogs, guide dogs, search and rescue dogs, and attentive family dogs.",https://www.wisdompanel.com/en-us/dog-breeds/german-shepherd-dog/,https://breed-assets.wisdompanel.com/dog/german-shepherd-dog/German_Shepherd_Dog_Color_Small_File.png
Doberman Pinscher,24–28 in,60–117 lb,9–12 yr,Guard,"The Doberman Pinscher is a fearless, vigilant, intelligent breed that loves to please. Dobermans are good-natured and affectionate, protective of their people and territory, and widely used for guide work and therapy. They’re lovely, loyal household companions.",https://www.wisdompanel.com/en-us/dog-breeds/dobermann-pinscher/,https://breed-assets.wisdompanel.com/dog/dobermann-pinscher/Doberman_Pincher_Color_Small_File.png
Miniature Pinscher,10–12 in,4–12 lb,12–16 yr,Terrier,"Miniature Pinschers are intelligent, curious, and energetic. Though very loyal to their families, they're often suspicious of strangers—qualities that make them great watchdogs. An eager-to-please, fast-learner, the Miniature Pinscher is an excellent pet.",https://www.wisdompanel.com/en-us/dog-breeds/miniature-pinscher/,https://breed-assets.wisdompanel.com/dog/miniature-pinscher/Miniature_Pinscher_Color_Small_File.png
Greater Swiss Mountain Dog,23–28 in,59–110 lb,8–11 yr,Mountain Dogs,"The Greater Swiss Mountain Dog is a devoted family companion, and they prefer to be near their people at all times. They are generally friendly with new people when properly introduced, but they may be wary of strangers and, when they feel it’s warranted, will bark loudly to sound the alarm.",https://www.wisdompanel.com/en-us/dog-breeds/greater-swiss-mountain-dog/,https://breed-assets.wisdompanel.com/dog/greater-swiss-mountain-dog/Greater_Swiss_Mountain_Dog_Color_Small_File.png
Bernese Mountain Dog,23–26 in,70–123 lb,7–10 yr,Mountain Dogs,"This large breed is intelligent, strong, self-confident, and generally easygoing. They bond strongly to their people, and they don’t do well when they are left alone for long periods of time. Although Bernese Mountain Dogs—or Berners—are protective and may be aloof with strangers, they aren’t necessarily shy, and they don’t tend to be aggressive.",https://www.wisdompanel.com/en-us/dog-breeds/bernese-mountain-dog/,https://breed-assets.wisdompanel.com/dog/bernese-mountain-dog/Bernese_Mountain_Dog_Color_Small_File.png
Appenzell Cattle Dog,20–22 in,49–71 lb,12–15 yr,Mountain Dogs,"The Appenzell Cattle Dog, as the name implies, is a cattle dog at heart, and to this day they are excellent watchdogs. They are incredibly fast and very intelligent, as well as lovingly devoted to their people. They can be wary of strangers, though, and they need plenty of exercise every day to stay healthy and happy. They’ve also been known to be heavy barkers, and they can be destructive when bored.",https://www.wisdompanel.com/en-us/dog-breeds/appenzell-cattle-dog/,https://breed-assets.wisdompanel.com/dog/appenzell-cattle-dog/Appenzell_Cattle_Dog_Color_Small_File.png
Entlebucher Mountain Dog,19–20 in,35–60 lb,11–13 yr,Mountain Dogs,"The Entlebucher Mountain Dog is a smart and loyal companion, and although these dogs have an independent streak, they prefer to be with their people at all times; they don’t do well when left alone. They can be wary of strangers, so they make good watchdogs, and because they can be rambunctious at times, they should be supervised when they are with young children. Proper training and socialization is recommended to help Entlebuchers reach their full potential.",https://www.wisdompanel.com/en-us/dog-breeds/entlebucher-mountain-dog/,https://breed-assets.wisdompanel.com/dog/entlebucher-mountain-dog/Entlebucher_Color_Small_File.png
Boxer,21–25 in,49–77 lb,10–12 yr,Guard,"Boxers are intelligent, hardworking, and good-looking dogs. They are very loyal and affectionate to their family, as well as playful and gentle. This makes them great with children. So, it's no wonder that the Boxer has earned a reputation as one of America's most popular dog breeds.",https://www.wisdompanel.com/en-us/dog-breeds/boxer/,https://breed-assets.wisdompanel.com/dog/boxer/Boxer_Color_Small_File.png
Bullmastiff,24–27 in,78–144 lb,7–10 yr,Guard,"The Bullmastiff is a good-natured, calm, and affectionate breed. Devoted to their families and typically docile, Bullmastiffs are very protective and alert. They make excellent guards thanks to their intelligence and trustworthiness.",https://www.wisdompanel.com/en-us/dog-breeds/bullmastiff/,https://breed-assets.wisdompanel.com/dog/bullmastiff/Bullmastiff_Color_Small_File.png
Tibetan Mastiff (Do Khyi),25–28 in,90–140 lb,10–15 yr,Asian and Oceanian,"Due to their sheer size, it should come as no surprise that the Tibetian Mastiff was bred to guard properties. Though they remain protective, these dogs are actually gentle giants—mellow, loving, and devoted to their families.",https://www.wisdompanel.com/en-us/dog-breeds/tibetan-mastiff/,https://breed-assets.wisdompanel.com/dog/tibetan-mastiff/Tibetan_Mastiff_Color_Small_File.png
French Bulldog,12–13 in,19–34 lb,10–12 yr,Guard,"The French Bulldog is an easygoing, affectionate breed. Often called “Frenchies,” these pups usually aren’t barkers, but their alertness makes them outstanding watchdogs. They have big personalities and tend to enjoy being around people and other animals. As a result, French Bulldogs have become a favorite breed of many pet parents.",https://www.wisdompanel.com/en-us/dog-breeds/french-bulldog/,https://breed-assets.wisdompanel.com/dog/french-bulldog/French_Bulldog_Color_Small_File.png
Great Dane,29–35 in,96–153 lb,6–10 yr,Guard,"The Great Dane is a friendly, intelligent breed famous for its size. Despite their affectionate and often goofy demeanor, Great Danes make excellent guard dogs thanks to their loyalty and devotion to their people. There's plenty to love about these gentle giants.",https://www.wisdompanel.com/en-us/dog-breeds/great-dane/,https://breed-assets.wisdompanel.com/dog/great-dane/Great_Dane_Color_Small_File.png
Saint Bernard,32–36 in,106–186 lb,7–10 yr,Mountain Dogs,"The Hollywood superstars of the dog world, these gentle giants make great nannies for children. Their caring and patient nature makes them a wonderful, but also massive, family member. They were bred to be mountain rescuers, and have an incredible history in the Swiss Alps.",https://www.wisdompanel.com/en-us/dog-breeds/saint-bernard/,https://breed-assets.wisdompanel.com/dog/saint-bernard/Saint_Bernard_Color_Small_File.png
American Eskimo Dog,9–19 in,16–30 lb,13–15 yr,Companion,"The American Eskimo Dog is active, outgoing, and quick to learn new tasks. With a playful nature and eager-to-please personality, Eskies make excellent (and adorable) four-legged family members.",https://www.wisdompanel.com/en-us/dog-breeds/american-eskimo-dog/,https://breed-assets.wisdompanel.com/dog/american-eskimo-dog/American_Eskimo_Dog_Color_Small_File.png
Alaskan Malamute,23–28 in,61–105 lb,10–14 yr,Asian and Oceanian,"Alaskan Malamutes may be best known as sled dogs. But they're also adoring, playful animals. With the right training and socialization, the Malamute makes a great, hardworking family pet.",https://www.wisdompanel.com/en-us/dog-breeds/alaskan-malamute/,https://breed-assets.wisdompanel.com/dog/alaskan-malamute/Alaskan_Malamute_Color.png
Siberian Husky,21–23 in,34–67 lb,12–15 yr,Asian and Oceanian,"The Siberian Husky is a very intelligent breed that's active, alert, and gentle. Huskies show great ability in a range of activities and can adapt to different living environments. Their love of people and demeanor around children make Siberian Huskies wonderful pets and companions.",https://www.wisdompanel.com/en-us/dog-breeds/siberian-husky/,https://breed-assets.wisdompanel.com/dog/siberian-husky/Siberian_Husky_Color_Small_File.png
Affenpinscher,9–11 in,5–14 lb,12–15 yr,Companion,"Affenpinschers may weigh just 10 lbs. (or less). But they have big personalities. Willful, domineering, entertaining, and affectionate—the Affenpinscher is equal parts loyal companion and fierce protector.",https://www.wisdompanel.com/en-us/dog-breeds/affenpinscher/,https://breed-assets.wisdompanel.com/dog/affenpinscher/Affenpinscher_Color.png
Basenji,15–17 in,16–34 lb,12–14 yr,Middle Eastern and African,"Basenjis are independent, intelligent, and interesting dogs. Their stubborn natures have earned them a reputation of being difficult to train. But with a little positivity and patience, the Basenji makes a charming and delightful companion.",https://www.wisdompanel.com/en-us/dog-breeds/basenji/,https://breed-assets.wisdompanel.com/dog/basenji/Basenji_Color_Small_File.png
Pug,12–16 in,12–24 lb,12–15 yr,Companion,"Pugs are small, muscular dogs known for their mischievous, loving dispositions. These easy-to-train dogs are equally happy playing fetch as curling up for a nap—and their good-natured personalities make them a favorite with children.",https://www.wisdompanel.com/en-us/dog-breeds/pug/,https://breed-assets.wisdompanel.com/dog/pug/Pug_Color_Small_File.png
Leonberger,26–31 in,86–151 lb,7–11 yr,Mountain Dogs,"The Leonberger is a large-sized breed that’s loving and devoted to their family. They prefer spending time with their people, and when they’re left alone for too long, they may become destructive. This breed requires a lot of space to roam and exercise, both indoors and out.",https://www.wisdompanel.com/en-us/dog-breeds/leonberger/,https://breed-assets.wisdompanel.com/dog/leonberger/Leonberger_Color_Small_File.png
Newfoundland,26–28 in,86–163 lb,7–11 yr,Mountain Dogs,"The Newfoundland is a loyal, devoted breed with a loving personality. They may be massive, but their patience and gentle, sweet-tempered nature have earned them the nickname of “nanny dog.”",https://www.wisdompanel.com/en-us/dog-breeds/newfoundland/,https://breed-assets.wisdompanel.com/dog/newfoundland/Newfoundland_Color_Small_File.png
Great Pyrenees,25–27 in,66–138 lb,10–12 yr,Herding,"Great Pyrenees are powerful working dogs devoted to their flocks and families. These big bundles of energy also have patient, calm demeanors that endear them to their owners.",https://www.wisdompanel.com/en-us/dog-breeds/great-pyrenees/,https://breed-assets.wisdompanel.com/dog/great-pyrenees/Great_Pyrenees_Color_Small_File.png
Samoyed,18–22 in,37–70 lb,12–15 yr,Asian and Oceanian,"The Samoyed is a playful, alert breed that excels as both a family dog and a guard dog. Nicknamed ""The Smiley Dog,"" these pups appear to have permanent smiles on their faces. Powerful, active members of the working dog group, Samoyeds—or ""Sammies""—are happiest when playing outdoors with their people.",https://www.wisdompanel.com/en-us/dog-breeds/samoyed/,https://breed-assets.wisdompanel.com/dog/samoyed/Samoyed_Color_Small_File.png
Pomeranian,7–12 in,3–10 lb,12–16 yr,Companion,"The Pomeranian is an active, friendly, and cheerful breed. These extroverted dogs are natural performers and like to learn tricks and entertain a crowd. A wonderful, very good-natured pet, this tiny dog is a big favorite.",https://www.wisdompanel.com/en-us/dog-breeds/pomeranian/,https://breed-assets.wisdompanel.com/dog/pomeranian/Pomeranian_Color_Small_File.png
Chow Chow,18–22 in,42–69 lb,8–12 yr,Asian and Oceanian,"Bred to guard sacred temples and hunt, the Chow Chow retains its strong work ethic and guarding tendencies. Those who own these refined yet puffy ""lion dogs"" can attest to their loyalty.",https://www.wisdompanel.com/en-us/dog-breeds/chow-chow/,https://breed-assets.wisdompanel.com/dog/chow-chow/Chow_Chow_Color_Small_File.png
Keeshond,17–19 in,28–60 lb,12–15 yr,Companion,"The Keeshond is an alert, intelligent, and playful dog. Once used to guard river barges, this breed sailed its way to popularity as a family pet with a permanent smile on its face.",https://www.wisdompanel.com/en-us/dog-breeds/keeshond/,https://breed-assets.wisdompanel.com/dog/keeshond/Keeshond_Color_Small_File.png
Brussels Griffon,7–8 in,6–14 lb,12–15 yr,Companion,"The Brussels Griffon is a big dog in a small package. Known for its oversized personality, this breed is alert, curious, and energetic. Brussels Griffons are also sensitive and need almost-constant companionship.",https://www.wisdompanel.com/en-us/dog-breeds/brussels-griffon/,https://breed-assets.wisdompanel.com/dog/brussels-griffon/Brussels_Griffon_Color_Small_File.png
Pembroke Welsh Corgi,10–12 in,18–42 lb,10–15 yr,Herding,"Pembroke Welsh Corgis are strong, athletic working dogs. Though small in stature, the breed tackles the big task of herding cattle. Their skill has made them one of the world's most popular herding breeds.",https://www.wisdompanel.com/en-us/dog-breeds/pembroke-welsh-corgi/,https://breed-assets.wisdompanel.com/dog/pembroke-welsh-corgi/Pembroke_Welsh_Corgi_Color_Small_File.png
Cardigan Welsh Corgi,10–13 in,23–42 lb,12–15 yr,Herding,"Cardigan Welsh Corgis are athletic working dogs with stamina to spare. Though small, these dogs have a big bark that makes them excellent watchdogs. And when not on the job, the Cardigan Welsh Corgi is an affectionate companion.",https://www.wisdompanel.com/en-us/dog-breeds/cardigan-welsh-corgi/,https://breed-assets.wisdompanel.com/dog/cardigan-welsh-corgi/Cardigan_Welsh_Corgi_Color_Small_File.png
Poodle (Toy and Miniature),8–15 in,7–28 lb,10–18 yr,Companion,"At first glance, Miniature and Toy Poodles may not look like natural-born athletes. But don't let their small size fool you. They are every bit the running, jumping, swimming dogs as other breeds in the sporting group. They just fit on your lap better after a full day of fun!",https://www.wisdompanel.com/en-us/dog-breeds/poodle-miniature-toy/,https://breed-assets.wisdompanel.com/dog/poodle-miniature-toy/Poodle_(Miniature)_Color.png
Poodle (Toy and Miniature),8–15 in,7–28 lb,10–18 yr,Companion,"At first glance, Miniature and Toy Poodles may not look like natural-born athletes. But don't let their small size fool you. They are every bit the running, jumping, swimming dogs as other breeds in the sporting group. They just fit on your lap better after a full day of fun!",https://www.wisdompanel.com/en-us/dog-breeds/poodle-miniature-toy/,https://breed-assets.wisdompanel.com/dog/poodle-miniature-toy/Poodle_(Miniature)_Color.png
Poodle (Medium and Standard),14–24 in,15–69 lb,10–16 yr,Sporting,"The Poodle is a calm, smart, sensitive breed that makes a great jogging buddy, family dog, and (if properly coiffed) fashion statement.",https://www.wisdompanel.com/en-us/dog-breeds/poodle-medium-standard/,https://breed-assets.wisdompanel.com/dog/poodle-medium-standard/Standard_Poodle_Rev_Color.png
Xoloitzcuintli,10–24 in,5–40 lb,13–18 yr,Terrier,"The Xoloitzcuintli (pronounced ""show-low-eats-queent-lee"") is one of the world's oldest breeds. These intelligent, alert, and loyal dogs make fine family pets. And don't worry—they have a nickname that's much easier to pronounce: Xolo (show-low).",https://www.wisdompanel.com/en-us/dog-breeds/xoloitzcuintli/,https://breed-assets.wisdompanel.com/dog/xoloitzcuintli/Xoloitzcuintli_Color_Small_File.png
Australian Cattle Dog,17–20 in,31–53 lb,12–16 yr,Herding,"The Australian Cattle Dog is a muscular herding dog with stamina to spare. These are intelligent, alert, watchful dogs with boundless energy. In the absence of a job, Australian Cattle Dogs require a home with very active owners.",https://www.wisdompanel.com/en-us/dog-breeds/australian-cattle-dog/,https://breed-assets.wisdompanel.com/dog/australian-cattle-dog/Australian_Cattle_Dog_Color_Small_File.png
Dhole,About 36 in,26–44 lb,About 10 yr,Dholes,"Dholes, wild dogs native to Asia, are lean and lithe canines about the size of a German shepherd.

These predators have auburn fur, a black tail, amber eyes, and upright, rounded ears. Dholes–pronounced ""DOLES""–are most genetically similar to African wild dogs.

Dholes live primarily in fragmented populations in southern and eastern Asia, and can adapt to many different landscapes, including forests, shrublands, and high mountain steppes. They den underground, sometimes repurposing old burrows left behind by hyenas or other animals.

The canines are very social, living in packs of various sizes, even as small as two. One study on pack size in India, which has the highest dhole population, reported that dhole packs were smaller–around six individuals–where tigers were more abundant, and larger–about 17 animals–where tigers were fewer. This suggests competition with tigers for prey keeps dhole packs smaller. ",https://www.nationalgeographic.com/animals/mammals/facts/dholes,https://upload.wikimedia.org/wikipedia/commons/c/c8/Dogs%2C_jackals%2C_wolves%2C_and_foxes_%28Plate_XLI%29.png
African Wild Dog,29.5–43 in,39.5–79 lb,Up to 10 yr,African Wild Dogs,"The African wild dog is known by many names, including Cape hunting dog or painted dog. Its scientific name, Lycaon pictus, means ""painted wolf"", referring to the animal's irregular, mottled coat, which features patches of red, black, brown, white, and yellow fur. Each animal has its own unique coat pattern, and all have big, rounded ears.

These long-legged canines have only four toes per foot, unlike other dogs, which have five toes on their forefeet.",https://www.nationalgeographic.com/animals/mammals/facts/african-wild-dog,https://www.africanwildlifeconservationfund.org/wp-content/uploads/2020/11/Wild_Dog_Side_Profile.png
